,Unnamed: 0.1,Unnamed: 0.1.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,122,122,GerDracor/brandes-ariadne-auf-naxos.xml,Ariadne.,0,8,stage_direction,1,2,pre_speech,,,,,no_annotation,schauspiel,,1775.0,no_annotation,no_annotation
1,123,123,GerDracor/brandes-ariadne-auf-naxos.xml,(hernach) Die Stimme der Oreade.,9,41,stage_direction,1,2,pre_speech,,,,,no_annotation,schauspiel,,1775.0,no_annotation,no_annotation
2,124,124,GerDracor/brandes-ariadne-auf-naxos.xml,durch den letzten Ausruf des Theseus aus dem Schlaf erweckt.,0,60,stage_direction,1,2,speech_part,,#ariadne,10.0,FEMALE,no_annotation,schauspiel,,1775.0,no_annotation,no_annotation
3,125,125,GerDracor/brandes-ariadne-auf-naxos.xml,Theseus!,0,8,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,being moved,schauspiel,,1775.0,being moved,being moved
4,126,126,GerDracor/brandes-ariadne-auf-naxos.xml,Riefst du nicht mein Theseus?,9,38,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,no_annotation,schauspiel,,1775.0,no_annotation,no_annotation
5,127,127,GerDracor/brandes-ariadne-auf-naxos.xml,Nanntest Du nicht meinen Namen?,39,70,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,no_annotation,schauspiel,,1775.0,no_annotation,no_annotation
6,128,128,GerDracor/brandes-ariadne-auf-naxos.xml,"Nein, es war ein Traum!",0,23,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,no_annotation,schauspiel,,1775.0,no_annotation,no_annotation
7,129,129,GerDracor/brandes-ariadne-auf-naxos.xml,Der schöne Morgen hat mir ihn entfuhrt.,24,63,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,suffering,schauspiel,,1775.0,negative,emotions of suffering and empathy
8,130,130,GerDracor/brandes-ariadne-auf-naxos.xml,"Sey mir gegrüßt, herrliches Morgenroth!",0,39,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,joy,schauspiel,,1775.0,positive,emotions of pleasure
9,131,131,GerDracor/brandes-ariadne-auf-naxos.xml,"Noch nie sah ich es so schön, so glühend!",0,41,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,love,schauspiel,,1775.0,positive,emotions of affection
10,132,132,GerDracor/brandes-ariadne-auf-naxos.xml,Jezt steigt die Sonne herauf; mit welcher Pracht!,0,49,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,joy,schauspiel,,1775.0,positive,emotions of pleasure
11,133,133,GerDracor/brandes-ariadne-auf-naxos.xml,"Seit den drey glücklichen Tagen auf Naxos Höhen überraschte sie mich in deinen Armen,
            mein Theseus!",0,111,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,joy,schauspiel,,1775.0,positive,emotions of pleasure
12,134,134,GerDracor/brandes-ariadne-auf-naxos.xml,Nur heute bist du ihr zuvor gekommen!,112,149,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,joy,schauspiel,,1775.0,positive,emotions of pleasure
13,135,135,GerDracor/brandes-ariadne-auf-naxos.xml,"Sie erröthet nicht umsonst, die Verrätherin unsrer Freuden!",0,59,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,abhorrence,schauspiel,,1775.0,negative,emotions of rejection
14,136,136,GerDracor/brandes-ariadne-auf-naxos.xml,Wie durch ihren Anblick sich diese Wildniß erheitert!,0,53,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,joy,schauspiel,,1775.0,positive,emotions of pleasure
15,137,137,GerDracor/brandes-ariadne-auf-naxos.xml,"Ohne dich, Geliebter!",0,21,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,love,schauspiel,,1775.0,positive,emotions of affection
16,138,138,GerDracor/brandes-ariadne-auf-naxos.xml,Welch ein Schauervoller Aufenthalt!,22,57,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,fear,schauspiel,,1775.0,negative,emotions of anxiety
17,139,139,GerDracor/brandes-ariadne-auf-naxos.xml,"Hier glänzt kein stiller Sommertag, wie in den königlichen Gärten meines Vaters, hier
            blühen keine Rosensträuche, unter deren Schatten uns die Liebe verbarg; kein Zephir
            spielt mit unsern Locken, keine Sängerin der Nacht weckt uns zu neuen Freuden!",0,272,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,joy,schauspiel,,1775.0,positive,emotions of pleasure
18,140,140,GerDracor/brandes-ariadne-auf-naxos.xml,"Alles ist hier wild, fürchterlich!",0,34,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,being moved,schauspiel,,1775.0,being moved,being moved
19,141,141,GerDracor/brandes-ariadne-auf-naxos.xml,"Das Meer tobt gegen diesen Felsen, will ihn verdrängen!",0,55,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,abhorrence,schauspiel,,1775.0,negative,emotions of rejection
20,142,142,GerDracor/brandes-ariadne-auf-naxos.xml,"Schröklich beugt sich der Felsen, droht einzustürzen!",0,53,character_speech,1,2,,ARIADNE,#ariadne,10.0,FEMALE,fear,schauspiel,,1775.0,negative,emotions of anxiety
