,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
2500,2500,2500,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Vorige.,0,7,stage_direction,5,15,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2501,2501,2501,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Madame Ruhberg.,8,23,stage_direction,5,15,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2502,2502,2502,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Sekretär Ahlden.,24,40,stage_direction,5,15,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2503,2503,2503,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Oberkommissär.,41,55,stage_direction,5,15,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2504,2504,2504,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Ahlden.,56,63,stage_direction,5,15,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2505,2505,2505,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Der Mensch an seinem Halse, fort von ihm!",0,41,character_speech,5,15,,OBERKOMMISSÄR.,#oberkommissaer,1178.0,MALE,compassion,negative,emotions of suffering and empathy
2506,2506,2506,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Armer, unglücklicher Märtirer!",0,30,character_speech,5,15,,MADAME RUHBERG.,#madame_ruhberg,1179.0,FEMALE,compassion,negative,emotions of suffering and empathy
2507,2507,2507,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Er lebt, liebe Mutter!",0,22,character_speech,5,15,,LOUISE.,#louise,1180.0,FEMALE,love,positive,emotions of affection
2508,2508,2508,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Fort mit dem da.,0,16,character_speech,5,15,,OBERKOMMISSÄR.,#oberkommissaer,1181.0,MALE,no_annotation,no_annotation,no_annotation
2509,2509,2509,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Er schleudert ihn weg.,0,22,stage_direction,5,15,inner_speech,,#oberkommissaer,1181.0,MALE,anger,negative,emotions of rejection
2510,2510,2510,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Mein Vater – mein theurer Vater!,0,32,character_speech,5,15,,SEKRETÄR.,#sekretaer,1182.0,MALE,"admiration, reverence",positive,emotions of affection
2511,2511,2511,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Retten Sie meinen Vater!,0,24,character_speech,5,15,,RUHBERG DER SOHN.,#ruhberg_der_sohn,1183.0,MALE,despair,negative,emotions of anxiety
2512,2512,2512,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Ich flehe Ihre Barmherzigkeit an, um Rache gegen mich.",25,79,character_speech,5,15,,RUHBERG DER SOHN.,#ruhberg_der_sohn,1183.0,MALE,suffering,negative,emotions of suffering and empathy
2513,2513,2513,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,hart.,0,5,stage_direction,5,15,speech_part,,#oberkommissaer,1184.0,MALE,anger,negative,emotions of rejection
2514,2514,2514,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Die will ich nehmen – darum komme ich.,0,38,character_speech,5,15,,OBERKOMMISSÄR,#oberkommissaer,1184.0,MALE,no_annotation,no_annotation,no_annotation
2515,2515,2515,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Darum führten Sie mich her – Zeuge soll ich sein, wie Sie uns zertreten, unserer Noth
              spotten?",0,108,character_speech,5,15,,MADAME RUHBERG.,#madame_ruhberg,1185.0,FEMALE,suffering,negative,emotions of suffering and empathy
2516,2516,2516,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Sie sind nicht hilflos.,0,23,character_speech,5,15,,OBERKOMMISSÄR.,#oberkommissaer,1186.0,MALE,no_annotation,no_annotation,no_annotation
2517,2517,2517,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Suchen Sie nur bei Ihren vornehmen Freunden.,24,68,character_speech,5,15,,OBERKOMMISSÄR.,#oberkommissaer,1186.0,MALE,friendship,positive,emotions of affection
2518,2518,2518,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Mein Vater!,0,11,character_speech,5,15,,SEKRETÄR.,#sekretaer,1187.0,MALE,being moved,being moved,being moved
2519,2519,2519,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Schonen Sie unser!,0,18,character_speech,5,15,,LOUISE.,#louise,1188.0,FEMALE,fear,negative,emotions of anxiety
2520,2520,2520,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Sie opferten ihnen ja Vermögen, Ehre, Vaterfreuden, Glück und Himmel auf.",0,73,character_speech,5,15,,OBERKOMMISSÄR.,#oberkommissaer,1189.0,MALE,joy,positive,emotions of pleasure
2521,2521,2521,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Fünftausend
              Thaler können Sie jetzt vom Verderben retten.",74,145,character_speech,5,15,,OBERKOMMISSÄR.,#oberkommissaer,1189.0,MALE,joy,positive,emotions of pleasure
2522,2522,2522,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"– Es ist eine Summe, die vielleicht eben
              jetzt auf ihren Spieltischen liegt.",146,236,character_speech,5,15,,OBERKOMMISSÄR.,#oberkommissaer,1189.0,MALE,no_annotation,no_annotation,no_annotation
2523,2523,2523,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Gehen Sie, suchen Sie doch ihre Hilfe!",237,275,character_speech,5,15,,OBERKOMMISSÄR.,#oberkommissaer,1189.0,MALE,no_annotation,no_annotation,no_annotation
2524,2524,2524,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Unmensch!,0,9,character_speech,5,15,,MADAME RUHBERG.,#madame_ruhberg,1190.0,FEMALE,anger,negative,emotions of rejection
2525,2525,2525,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,O mein Herr!,0,12,character_speech,5,15,,RUHBERG VATER.,#ruhberg_vater,1191.0,MALE,being moved,being moved,being moved
2526,2526,2526,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Mein Vater!,0,11,character_speech,5,15,,SEKRETÄR.,#sekretaer,1192.0,MALE,being moved,being moved,being moved
2527,2527,2527,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Ach Gott!,0,9,character_speech,5,15,,LOUISE.,#louise,1193.0,FEMALE,being moved,being moved,being moved
2528,2528,2528,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Nur zu, mein Herr.",0,18,character_speech,5,15,,RUHBERG DER SOHN.,#ruhberg_der_sohn,1194.0,MALE,no_annotation,no_annotation,no_annotation
2529,2529,2529,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Ihre Grausamkeit ist mein Trost.,19,51,character_speech,5,15,,RUHBERG DER SOHN.,#ruhberg_der_sohn,1194.0,MALE,suffering,negative,emotions of suffering and empathy
2530,2530,2530,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Ich, der Mörder eines theuern
              Vaters, soll frei ausgehen?",52,123,character_speech,5,15,,RUHBERG DER SOHN.,#ruhberg_der_sohn,1194.0,MALE,being moved,being moved,being moved
2531,2531,2531,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Dulden Sie das nicht, gerechter Mann!",124,161,character_speech,5,15,,RUHBERG DER SOHN.,#ruhberg_der_sohn,1194.0,MALE,compassion,negative,emotions of suffering and empathy
2532,2532,2532,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"– Geben Sie mich an;
              oder haben Sie bereits Ihre Pflicht gethan?",162,240,character_speech,5,15,,RUHBERG DER SOHN.,#ruhberg_der_sohn,1194.0,MALE,no_annotation,no_annotation,no_annotation
2533,2533,2533,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Ja Herr, das habe ich.",0,22,character_speech,5,15,,OBERKOMMISSÄR.,#oberkommissaer,1195.0,MALE,no_annotation,no_annotation,no_annotation
2534,2534,2534,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,O Gott!,0,7,character_speech,5,15,,LOUISE.,#louise,1196.0,FEMALE,being moved,being moved,being moved
2535,2535,2535,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,Ich unglückliche Mutter!,0,24,character_speech,5,15,,MADAME RUHBERG.,#madame_ruhberg,1197.0,FEMALE,suffering,negative,emotions of suffering and empathy
2536,2536,2536,GerDracor/iffland-verbrechen-aus-ehrsucht.xml,"Herr, ich fordere mein Kind von Ihnen.",0,38,character_speech,5,15,,RUHBERG VATER.,#ruhberg_vater,1198.0,MALE,no_annotation,no_annotation,no_annotation
