,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
2924,2924,2924,GerDracor/kotzebue-ueble-laune.xml,Geheimderath.,0,13,stage_direction,4,13,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2925,2925,2925,GerDracor/kotzebue-ueble-laune.xml,Hanns Bornmann.,14,29,stage_direction,4,13,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2926,2926,2926,GerDracor/kotzebue-ueble-laune.xml,Die Vorigen.,30,42,stage_direction,4,13,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2927,2927,2927,GerDracor/kotzebue-ueble-laune.xml,"(führt den alten Bornmann herein; holt einen Stuhl und sezt den Greis in die
              Mitte der Bühne)",0,107,stage_direction,4,13,speech_part,,#der_geheimderath,1721.0,MALE,no_annotation,no_annotation,no_annotation
2928,2928,2928,GerDracor/kotzebue-ueble-laune.xml,"Da ist der Mann, der mir das böse  Geschwür aufgestochen hat.",0,61,character_speech,4,13,,Geh. R.,#der_geheimderath,1721.0,MALE,no_annotation,no_annotation,no_annotation
2929,2929,2929,GerDracor/kotzebue-ueble-laune.xml,"Der ist
              es, der mir das Heilkraut der Thätigkeit empfahl.",62,133,character_speech,4,13,,Geh. R.,#der_geheimderath,1721.0,MALE,no_annotation,no_annotation,no_annotation
2930,2930,2930,GerDracor/kotzebue-ueble-laune.xml,– Hörst du Alter?,134,151,character_speech,4,13,,Geh. R.,#der_geheimderath,1721.0,MALE,no_annotation,no_annotation,no_annotation
2931,2931,2931,GerDracor/kotzebue-ueble-laune.xml,"wir wollen
              zusammen unserer Kinder Hochzeit feyern.",152,217,character_speech,4,13,,Geh. R.,#der_geheimderath,1721.0,MALE,no_annotation,no_annotation,no_annotation
2932,2932,2932,GerDracor/kotzebue-ueble-laune.xml,"Meine Tochter und dein Enkel sollen an Einem
              Tage getraut werden.",218,297,character_speech,4,13,,Geh. R.,#der_geheimderath,1721.0,MALE,no_annotation,no_annotation,no_annotation
2933,2933,2933,GerDracor/kotzebue-ueble-laune.xml,"Gottes Segen, liebes Fräulein.",0,30,character_speech,4,13,,Bornm.,#bornmann,1722.0,MALE,joy,positive,emotions of pleasure
