,Unnamed: 0.1,Unnamed: 0.1.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre,date
0,1359,1359,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Mägera als Graf Gansbiegel, Leander als Kammerdiener, Hanswurst als Heyduck, Angela
            und Colombina kommen von der Mauer des mittern Thurms hervor.",0,157,stage_direction,3,11,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedies1740_1770,,
1,1360,1360,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"
              Nun hab ich dich, mein Schatz!",0,45,character_speech,3,11,,MÄGERA.,#maegera,573.0,FEMALE,joy,positive,emotions of pleasure,comedies1740_1770,,
2,1361,1361,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"an jenen Ort gebracht,
              Den ich mir Lebenslang zur Residenz gemacht;
              Hier siehest du mein Schloß im ganzen Umfang liegen,
              Wo ich dich, schönstes Kind!",46,237,character_speech,3,11,,MÄGERA.,#maegera,573.0,FEMALE,love,positive,emotions of affection,comedies1740_1770,,
3,1362,1362,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"mit zärtlichstem Vergnügen
              Als Braut umarmen werd, hier ist der theure Ort!",238,327,character_speech,3,11,,MÄGERA.,#maegera,573.0,FEMALE,love,positive,emotions of affection,comedies1740_1770,,
4,1363,1363,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Dein künftger Aufenthalt, allwo du mir das Wort,
              Das du mir erst zuvor hast ohne Zwang gegeben,
              Nunmehr erfüllen wirst, als Frau mit mir zu leben.",342,516,character_speech,3,11,,MÄGERA.,#maegera,573.0,FEMALE,no_annotation,no_annotation,no_annotation,comedies1740_1770,,
5,1364,1364,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Mägera.,0,10,stage_direction,3,11,speech_part,,#angela,574.0,FEMALE,no_annotation,no_annotation,no_annotation,comedies1740_1770,,
6,1365,1365,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"
              Wie?",0,19,character_speech,3,11,,ANGELA,#angela,574.0,FEMALE,no_annotation,no_annotation,no_annotation,comedies1740_1770,,
7,1366,1366,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,– scherzen sie Herr Graf?,20,45,character_speech,3,11,,ANGELA,#angela,574.0,FEMALE,no_annotation,no_annotation,no_annotation,comedies1740_1770,,
8,1367,1367,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"in gegenwärt'gem Wald,
              Ist, wie mein Vater spricht, der Hexen Aufenthalt;
              Mein Aug betrügt mich nicht, hier sind die alten Steine
              Von dem zerstöhrten Schloß, wo nichts als Todtenbeine
              Verlebter Krieger sind, die wilder Feinde Macht
              Vor hundert Jahren schon erbärmlich umgebracht.",46,395,character_speech,3,11,,ANGELA,#angela,574.0,FEMALE,no_annotation,no_annotation,no_annotation,comedies1740_1770,,
9,1368,1368,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Ich kenne ja den Rest von dem zerfallnen Schlosse
              Das nichts als Schlangenbrut in dem gestürzten Schooße
              Zu unserm Grauen hegt, was sollen doch wohl wir
              An diesem wüsten Ort?",410,626,character_speech,3,11,,ANGELA,#angela,574.0,FEMALE,despair,negative,emotions of anxiety,comedies1740_1770,,
